Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Guardian film page,Country
24,Carrie,Brian De Palma,"John Travolta, Piper Laurie, Sissy Spacek",1976,,http://www.imdb.com/title/tt0074285/,http://www.guardian.co.uk/film/movie/81489/carrie,USA
25,Les Vampires (1915),Louis Feuillade,"Edouard Mathe, Marcel Levesque",1915,,http://www.imdb.com/title/tt0006206/,http://www.guardian.co.uk/film/movie/117077/vampires,France
1,Brief Encounter,David Lean ,"Celia Johnson, Cyril Raymond, Stanley Holloway, Trevor Howard",1945,,http://www.imdb.com/title/tt0037558/,http://www.guardian.co.uk/film/movie/35664/brief.encounter,UK
2,Casablanca,Michael Curtiz,"Claude Rains, Humphrey Bogart, Ingrid Bergman, Paul Henreid",1942,3,http://www.imdb.com/title/tt0034583/,http://www.guardian.co.uk/film/movie/36156/casablanca,USA
3,Before Sunrise,Richard Linklater,Ethan Hawke and Julie Delpy,1995,,http://www.imdb.com/title/tt0112471/,http://www.guardian.co.uk/film/movie/58808/before-sunrise,USA
3,Before Sunset,Richard Linklater,Ethan Hawke and Julie Delpy,2004,,http://www.imdb.com/title/tt0381681/awards,http://www.guardian.co.uk/film/movie/101181/before.sunset,USA
4,Breathless,Jean-Luc Godard,"Jean Seberg, Jean-Paul Belmondo",1960,,http://www.imdb.com/title/tt0053472/,http://www.guardian.co.uk/film/movie/36219/a-bout-de-souffle,France
5,In the Mood for Love,Kar Wai Wong,"Maggie Cheung Man-Yuk, Rebecca Pan, Tony Leung Chiu-Wai",2000,,http://www.imdb.com/title/tt0118694/,http://www.guardian.co.uk/film/movie/85442/in.the.mood.for.love,Hong Kong
6,The Apartment,Billy Wilder,"Fred MacMurray, Jack Lemmon, Ray Walston, Shirley MacLaine",1960,,http://www.imdb.com/title/tt0053604/,http://www.guardian.co.uk/film/movie/36225/apartment,USA
7,Hannah & Her Sisters,Woody Allen ,"Barbara Hershey, Carrie Fisher, Dianne Wiest, Julie Kavner, Mia Farrow, Michael Caine, Woody Allen",1986,3,http://www.imdb.com/title/tt0091167/,http://www.guardian.co.uk/film/movie/89162/hannah-and-her-sisters,USA
8,Eternal Sunshine of the Spotless Mind,Michel Gondry,"Elijah Wood, Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Tom Wilkinson",2004,1,http://www.imdb.com/title/tt0338013/,http://www.guardian.co.uk/film/movie/100140/eternal.sunshine.of.the.spotless.mind,USA
9,Room With a View,James Ivory,"Helena Bonham Carter, Julian Sands, Maggie Smith",1985,3,http://www.imdb.com/title/tt0091867/,http://www.guardian.co.uk/film/movie/77615/room-with-a-view,UK
10,Jules et Jim,François Truffaut,"Henri Serre, Jeanne Moreau, Oscar Werner, Oskar Werner",1962,,http://www.imdb.com/title/tt0055032/,http://www.guardian.co.uk/film/movie/76699/jules.et.jim,France
11,All That Heaven Allows,Douglas Sirk,"Jane Wyman, Rock Hudson",1955,,http://www.imdb.com/title/tt0047811/,http://www.guardian.co.uk/film/movie/94875/all-that-heaven-allows,USA
12,Gone with the Wind,Victor Fleming,"Anne Rutherford, Clark Gable, Hattie McDaniel, Leslie Howard, Olivia De Havilland, Vivien Leigh",1939,8,http://www.imdb.com/title/tt0031381/,http://www.guardian.co.uk/film/movie/36144/gone.with.the.wind,USA
13,An Affair to Remember,Leo McCarey,"Cary Grant, Deborah Kerr, Richard Denning",1957,,http://www.imdb.com/title/tt0050105/,http://www.guardian.co.uk/film/movie/82271/affair.to.remember,USA
14,Umbrellas of Cherbourg,Jaques Demy ,"Anne Vernon, Catherine Deneuve, Nino Castelnuovo",1964,,http://www.imdb.com/title/tt0058450/,http://www.guardian.co.uk/film/movie/77848/umbrellas.of.cherbourg,France
15,Lost in Translation,Sofia Coppola,"Bill Murray, Giovanni Ribisi, Scarlett Johansson",2003,1,http://www.imdb.com/title/tt0335266/,http://www.guardian.co.uk/film/movie/96936/lost.in.translation,USA
15,Roman Holiday,William Wyler,"Audrey Hepburn, Gregory Peck",1953,3,http://www.imdb.com/title/tt0046250/,http://www.guardian.co.uk/film/movie/96156/roman-holiday,USA
15,Wall-E,Andrew Stanton,"Ben Burtt, Fred Willard, Jeff Garlin, Kathy Najimy, Sigourney Weaver",2008,1,http://www.imdb.com/title/tt0910970/,http://www.guardian.co.uk/film/movie/125194/wall-e,USA
18,My Night With Maud,Eric Rohmer," Francoise Fabian, Jean-Louis Trintignant",1969,,http://www.imdb.com/title/tt0064612/,http://www.guardian.co.uk/film/movie/77331/my-night-with-maud,France
19,Voyage to Italy,Roberto Rossellini,Ingrid Bergman,1954,,http://www.imdb.com/title/tt0046511/,http://www.guardian.co.uk/film/movie/88522/voyage-to-italy,Italy
20,Dr Zhivago,David Lean,"Geraldine Chaplin, Julie Christie, Omar Sharif",1965,5,http://www.imdb.com/title/tt0059113/,http://www.guardian.co.uk/film/movie/78519/dr-zhivago,USA
21,Harold & Maude,Hal Ashby,"Bud Cort, Cyril Cusack, Ruth Gordon, Vivian Pickles",1971,,http://www.imdb.com/title/tt0067185/,http://www.guardian.co.uk/film/movie/78471/harold-and-maude,USA
22,When Harry Met Sally,Rob Reiner,"Billy Crystal, Bruno Kirby, Carrie Fisher, Meg Ryan",1989,,http://www.imdb.com/title/tt0098635/,http://www.guardian.co.uk/film/movie/75869/when-harry-met-sally.,USA
23,Say Anything....,Cameron crowe,"John Cusack, Ione Skye, John Mahoney",1989,,http://www.imdb.com/title/tt0098258/,,USA
24,Fabulous Baker Boys,Steve Kloves,"Beau Bridges, Jeff Bridges, Michelle Pfeiffer",1989,,http://www.imdb.com/title/tt0097322/,http://www.guardian.co.uk/film/movie/134648/fabulous-baker-boys,USA
25,A Matter of Life & Death," Emeric Pressburger, Michael Powell"," David Niven, Kim Hunter, Raymond Massey, Richard Attenborough, Roger Livesey",1946,,http://www.imdb.com/title/tt0038733/,http://www.guardian.co.uk/film/movie/36173/matter.of.life.and.death,UK
1,2001,Stanley Kubrick,"Daniel Richter, Gary Lockwood, Keir Dullea, William Sylvester",1968,1,http://www.imdb.com/title/tt0062622/,http://www.guardian.co.uk/film/movie/36269/2001,USA
2,Metropolis,Fritz Lang,"Alfred Abel, Brigitte Helm, Gustav Frohlich, Gustav Fruhlich",1927,,http://www.imdb.com/title/tt0017136/,http://www.guardian.co.uk/film/movie/75782/metropolis,Germany
3,Blade Runner,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",1982,,http://www.imdb.com/title/tt0083658/,http://www.guardian.co.uk/film/movie/76627/blade-runner,USA
4,Alien,Ridley Scott,"Ian Holm, John Hurt, Sigourney Weaver, Tom Skerritt",1979,1,http://www.imdb.com/title/tt0078748/,http://www.guardian.co.uk/film/movie/75860/alien,USA
5,The Wizard of Oz,Victor Fleming,"Bert Lahr, Frank Morgan, Jack Haley, Judy Garland, Ray Bolger",1939,2,http://www.imdb.com/title/tt0032138/,http://www.guardian.co.uk/film/movie/36148/wizard.of.oz,USA
6,ET,Steven Spielberg,"Dee Wallace, Drew Barrymore, Henry Thomas, Peter Coyote",1982,4,http://www.imdb.com/title/tt0083866/,http://www.guardian.co.uk/film/movie/92910/e.t.the.extra-terrestrial,USA
6,Solaris, Andrei Tarkovsky,"Donatas Banionis, Juri Jarvet, Nataly Bondarchuk, Natalya Bondarchuk",1972,,http://www.imdb.com/title/tt0069293/,http://www.guardian.co.uk/film/movie/76558/solaris,USA
8,Spirited Away,Hayao Miyazaki,"Daveigh Chase, Jason Marsden, Jason Marsdon, Mari Natsuki, Miyu Irino, Rumi Hiragi, Suzanne Pleshette",2001,1,http://www.imdb.com/title/tt0245429/,http://www.guardian.co.uk/film/movie/96263/spirited.away,Japan
9,Star Wars  (1977),George Lucas,"Alec Guinness, Carrie Fisher, David Prowse, Harrison Ford, Mark Hamill, Peter Cushing, Peter Mayhew",1977,6,http://www.imdb.com/title/tt0076759/,http://www.guardian.co.uk/film/movie/36316/star.wars,USA
10,Close Encounters,Steven Spielberg,"Melinda Dillon, Richard Dreyfuss",1977,1,http://www.imdb.com/title/tt0075860/,http://www.guardian.co.uk/film/movie/36315/close-encounters-of-the-third-kind,USA
10,King Kong,"Ernest B Schoedsack, Merian C Cooper","Bruce Cabot, Ernest B Schoedsack, Fay Wray, Frank Reicher, James Flavin, John Armstrong, Noble Jhonson, Robert Armstrong",1933,,http://www.imdb.com/title/tt0024216/,http://www.guardian.co.uk/film/movie/36134/king.kong,USA
12,Terminator/Terminator 2,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",1984/1991,4 altogether,http://www.imdb.com/title/tt0088247/,http://www.guardian.co.uk/film/movie/88018/terminator,USA
13,The Matrix,Andy & Larry Wachowski,"Carrie-Anne Moss, Keanu Reeves, Laurence Fishburne",1999,4,http://www.imdb.com/title/tt0133093/,http://www.guardian.co.uk/film/movie/77528/matrix,USA
14,Alphaville,Jean Luc-Godard,"Anna Karina, Eddie Constantine",1965,,http://www.imdb.com/title/tt0058898/,http://www.guardian.co.uk/film/movie/75764/alphaville,France
15,Back to the Future,Robert Zemeckis,"Christopher Lloyd, Crispin Glover, Lea Thompson, Michael J Fox, Michael J. Fox",1985,1,http://www.imdb.com/title/tt0088763/,http://www.guardian.co.uk/film/movie/78042/back-to-the-future,USA
16,Planet of the Apes,Franklin J Schaffner ,"Charlton Heston, Kim Hunter, Roddy McDowell",1968,1,http://www.imdb.com/title/tt0063442/,http://www.guardian.co.uk/film/movie/95819/planet-of-the-apes,USA
17,Brazil,Terry Gilliam,"Jonathan Pryce, Michael Palin, Robert De Niro",1985,,http://www.imdb.com/title/tt0088846/,http://www.guardian.co.uk/film/movie/79920/brazil,UK
18,The Lord of the Rings trilogy,Peter Jackson,"Cate Blanchett, Dominic Monaghan, Elijah Wood, Hugo Weaving, John Rhys-Davies, Liv Tyler, Miranda Otto, Orlando Bloom, Sean Astin, Sir Ian McKellen, Viggo Mortensen, William Boyd",2001-2003,17 altogether,http://www.imdb.com/title/tt0167260/,http://www.guardian.co.uk/film/movie/92716/lord.of.the.rings,New Zealand
19,Dark Star,John Carpenter,"Brian Narelle, Dan O'Bannon, Dre Pahich",1974,,http://www.imdb.com/title/tt0069945/,http://www.guardian.co.uk/film/movie/77501/dark-star,USA
20,Day the Earth Stood Still,Robert Wise,"Hugh Marlowe, Lock Martin, Michael Rennie, Patricia Neal",1951,,http://www.imdb.com/title/tt0043456/,http://www.guardian.co.uk/film/movie/82253/day-the-earth-stood-still,USA
21,Edward Scissorhands,Tim Burton,"Dianne Wiest, Johnny Depp, Winona Ryder",1990,,http://www.imdb.com/title/tt0099487/,http://www.guardian.co.uk/film/movie/82335/edward.scissorhands,USA
22,Akira,Katsuhiro Otomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tessho Genda",1988,,http://www.imdb.com/title/tt0094625/,http://www.guardian.co.uk/film/movie/76882/akira,Japan
23,Princess Bride,Rob reiner,"Billy Crystal, Carty Elwes, Cary Elwes, Mandy Patinkin, Peter Falk, Robin Wright",1987,,http://www.imdb.com/title/tt0093779/,http://www.guardian.co.uk/film/movie/77070/princess-bride,USA
24,Pan’s Labyrinth,Guillermo del Toro," Ariadna Gil, Doug Jones, Ivana Baquero, Maribel Verdu, Sergi Lopez",2006,3,http://www.imdb.com/title/tt0457430/,http://www.guardian.co.uk/film/movie/112345/pan.s.labyrinth,Spain
25,Starship Troopers,Paul Verhoeven,"Casper Van Dien, Clancy Brown, Dina Meyer, Jake Busey, Michael Ironside",1997,,http://www.imdb.com/title/tt0120201/,http://www.guardian.co.uk/film/movie/71806/starship-troopers,USA
